POPULATION,AREA,OCCUPANCY,CAPACITY,Min_Temp_C,Max_Temp_C,Unemployment_Rate
16425,4.1,30,30,0.3,3.6,5.0
17825,0.4,66,66,0.3,3.6,5.0
16310,1.4,50,50,0.3,3.6,5.0
16310,1.4,412,470,0.3,3.6,5.0
14015,2.6,103,103,0.3,3.6,5.0
21000,3.1,64,64,0.3,3.6,5.0
16310,1.4,120,120,0.3,3.6,5.0
16310,1.4,360,363,0.3,3.6,5.0
14075,1.7,60,60,0.3,3.6,5.0
10140,3.4,45,45,0.3,3.6,5.0
7790,1.4,72,72,0.3,3.6,5.0
29180,2.8,22,27,0.3,3.6,5.0
28345,1.4,35,35,0.3,3.6,5.0
25640,9.6,109,106,0.3,3.6,5.0
18500,1.5,40,40,0.3,3.6,5.0
29180,2.8,22,25,0.3,3.6,5.0
20635,4.6,62,62,0.3,3.6,5.0
29180,2.8,50,50,0.3,3.6,5.0
32790,4.6,52,53,0.3,3.6,5.0
24775,7.4,50,51,0.3,3.6,5.0
7790,1.4,1298,1466,-1.2,1.9,5.0
34635,3.7,123,124,-1.2,1.9,5.0
29180,2.8,69,76,-1.2,1.9,5.0
27870,7.4,316,362,-1.2,1.9,5.0
34650,14.9,23,28,-1.2,1.9,5.0
26550,9.6,408,460,-1.2,1.9,5.0
21000,3.1,176,177,-1.2,1.9,5.0
16310,1.4,110,90,-1.2,1.9,5.0
16615,3.1,88,89,-1.2,1.9,5.0
16310,1.4,503,512,-1.2,1.9,5.0
43365,7.6,34,42,-1.2,1.9,5.0
18500,1.5,178,181,-1.2,1.9,5.0
21075,2.2,56,56,-1.2,1.9,5.0
28345,1.4,121,124,-1.2,1.9,5.0
20840,2.6,97,97,-1.2,1.9,5.0
16310,1.4,51,51,-1.2,1.9,5.0
43365,7.6,50,50,-1.2,1.9,5.0
17955,7.3,40,40,-1.2,1.9,5.0
15005,2.9,32,33,-1.2,1.9,5.0
17825,0.4,14,16,-1.2,1.9,5.0
28345,1.4,60,63,-1.2,1.9,5.0
28345,1.4,44,45,-1.2,1.9,5.0
14685,5.9,70,70,-1.2,1.9,5.0
10010,0.6,99,100,-1.2,1.9,5.0
17050,3.6,89,90,-1.2,1.9,5.0
34365,3.7,30,30,-1.2,1.9,5.0
17050,3.6,364,377,-1.2,1.9,5.0
21000,3.1,85,88,-1.2,1.9,5.0
9855,1.5,44,45,-1.2,1.9,5.0
11565,1.7,39,40,-1.2,1.9,5.0
13985,1.7,87,91,-1.2,1.9,5.0
13735,1.4,12,12,-1.2,1.9,5.0
25640,9.6,21,22,-1.2,1.9,5.0
26550,6.9,40,40,-1.2,1.9,5.0
28345,1.4,44,44,-1.2,1.9,5.0
16425,4.1,30,30,-1.2,1.9,5.0
17825,0.4,66,66,-1.2,1.9,5.0
16310,1.4,50,50,-1.2,1.9,5.0
16310,1.4,413,470,-1.2,1.9,5.0
14015,2.6,102,103,-1.2,1.9,5.0
21000,3.1,62,64,-1.2,1.9,5.0
16310,1.4,119,120,-1.2,1.9,5.0
16310,1.4,358,363,-1.2,1.9,5.0
14075,1.7,60,60,-1.2,1.9,5.0
10140,3.4,45,45,-1.2,1.9,5.0
7790,1.4,72,72,-1.2,1.9,5.0
29180,2.8,22,27,-1.2,1.9,5.0
28345,1.4,33,35,-1.2,1.9,5.0
25640,9.6,109,106,-1.2,1.9,5.0
18500,1.5,39,40,-1.2,1.9,5.0
29180,2.8,22,25,-1.2,1.9,5.0
20635,4.6,61,62,-1.2,1.9,5.0
29180,2.8,49,50,-1.2,1.9,5.0
32790,4.6,52,53,-1.2,1.9,5.0
24775,7.4,50,51,-1.2,1.9,5.0
7790,1.4,1288,1466,-1.7,2.9,5.0
34635,3.7,123,124,-1.7,2.9,5.0
29180,2.8,69,76,-1.7,2.9,5.0
27870,7.4,313,362,-1.7,2.9,5.0
34650,14.9,23,28,-1.7,2.9,5.0
26550,9.6,407,460,-1.7,2.9,5.0
21000,3.1,177,177,-1.7,2.9,5.0
16310,1.4,110,90,-1.7,2.9,5.0
16615,3.1,86,89,-1.7,2.9,5.0
16310,1.4,502,512,-1.7,2.9,5.0
43365,7.6,32,42,-1.7,2.9,5.0
18500,1.5,179,181,-1.7,2.9,5.0
21075,2.2,56,56,-1.7,2.9,5.0
28345,1.4,121,124,-1.7,2.9,5.0
20840,2.6,97,97,-1.7,2.9,5.0
16310,1.4,51,51,-1.7,2.9,5.0
43365,7.6,50,50,-1.7,2.9,5.0
17955,7.3,40,40,-1.7,2.9,5.0
15005,2.9,31,33,-1.7,2.9,5.0
17825,0.4,14,16,-1.7,2.9,5.0
28345,1.4,61,63,-1.7,2.9,5.0
28345,1.4,44,45,-1.7,2.9,5.0
14685,5.9,70,70,-1.7,2.9,5.0
10010,0.6,99,100,-1.7,2.9,5.0
17050,3.6,87,90,-1.7,2.9,5.0
34365,3.7,29,30,-1.7,2.9,5.0
17050,3.6,365,377,-1.7,2.9,5.0
21000,3.1,85,88,-1.7,2.9,5.0
9855,1.5,45,45,-1.7,2.9,5.0
11565,1.7,40,40,-1.7,2.9,5.0
13985,1.7,87,91,-1.7,2.9,5.0
13735,1.4,12,12,-1.7,2.9,5.0
25640,9.6,21,22,-1.7,2.9,5.0
26550,6.9,40,40,-1.7,2.9,5.0
28345,1.4,44,44,-1.7,2.9,5.0
16425,4.1,30,30,-1.7,2.9,5.0
17825,0.4,66,66,-1.7,2.9,5.0
16310,1.4,50,50,-1.7,2.9,5.0
16310,1.4,412,470,-1.7,2.9,5.0
14015,2.6,103,103,-1.7,2.9,5.0
21000,3.1,63,64,-1.7,2.9,5.0
16310,1.4,120,120,-1.7,2.9,5.0
16310,1.4,359,363,-1.7,2.9,5.0
14075,1.7,60,60,-1.7,2.9,5.0
10140,3.4,45,45,-1.7,2.9,5.0
7790,1.4,72,72,-1.7,2.9,5.0
29180,2.8,22,27,-1.7,2.9,5.0
28345,1.4,35,35,-1.7,2.9,5.0
25640,9.6,109,106,-1.7,2.9,5.0
18500,1.5,40,40,-1.7,2.9,5.0
29180,2.8,22,25,-1.7,2.9,5.0
20635,4.6,62,62,-1.7,2.9,5.0
29180,2.8,49,50,-1.7,2.9,5.0
32790,4.6,52,53,-1.7,2.9,5.0
24775,7.4,50,51,-1.7,2.9,5.0
7790,1.4,1287,1466,-3.0,3.9,5.0
34635,3.7,123,124,-3.0,3.9,5.0
29180,2.8,69,76,-3.0,3.9,5.0
27870,7.4,313,362,-3.0,3.9,5.0
34650,14.9,23,28,-3.0,3.9,5.0
26550,9.6,410,460,-3.0,3.9,5.0
21000,3.1,175,177,-3.0,3.9,5.0
16310,1.4,111,90,-3.0,3.9,5.0
16615,3.1,86,89,-3.0,3.9,5.0
16310,1.4,501,512,-3.0,3.9,5.0
43365,7.6,32,42,-3.0,3.9,5.0
18500,1.5,179,181,-3.0,3.9,5.0
21075,2.2,56,56,-3.0,3.9,5.0
28345,1.4,122,124,-3.0,3.9,5.0
20840,2.6,97,97,-3.0,3.9,5.0
16310,1.4,51,51,-3.0,3.9,5.0
43365,7.6,50,50,-3.0,3.9,5.0
17955,7.3,40,40,-3.0,3.9,5.0
15005,2.9,32,33,-3.0,3.9,5.0
17825,0.4,14,16,-3.0,3.9,5.0
28345,1.4,61,63,-3.0,3.9,5.0
28345,1.4,45,45,-3.0,3.9,5.0
14685,5.9,70,70,-3.0,3.9,5.0
10010,0.6,98,100,-3.0,3.9,5.0
17050,3.6,89,90,-3.0,3.9,5.0
34365,3.7,30,30,-3.0,3.9,5.0
17050,3.6,361,377,-3.0,3.9,5.0
21000,3.1,85,88,-3.0,3.9,5.0
9855,1.5,45,45,-3.0,3.9,5.0
11565,1.7,39,40,-3.0,3.9,5.0
13985,1.7,87,91,-3.0,3.9,5.0
13735,1.4,12,12,-3.0,3.9,5.0
25640,9.6,21,22,-3.0,3.9,5.0
26550,6.9,40,40,-3.0,3.9,5.0
28345,1.4,43,44,-3.0,3.9,5.0
16425,4.1,30,30,-3.0,3.9,5.0
17825,0.4,66,66,-3.0,3.9,5.0
16310,1.4,50,50,-3.0,3.9,5.0
16310,1.4,413,470,-3.0,3.9,5.0
14015,2.6,103,103,-3.0,3.9,5.0
21000,3.1,64,64,-3.0,3.9,5.0
16310,1.4,120,120,-3.0,3.9,5.0
16310,1.4,360,363,-3.0,3.9,5.0
14075,1.7,60,60,-3.0,3.9,5.0
10140,3.4,45,45,-3.0,3.9,5.0
7790,1.4,72,72,-3.0,3.9,5.0
29180,2.8,22,27,-3.0,3.9,5.0
28345,1.4,35,35,-3.0,3.9,5.0
25640,9.6,109,106,-3.0,3.9,5.0
18500,1.5,39,40,-3.0,3.9,5.0
29180,2.8,23,25,-3.0,3.9,5.0
20635,4.6,62,62,-3.0,3.9,5.0
29180,2.8,50,50,-3.0,3.9,5.0
32790,4.6,52,53,-3.0,3.9,5.0
24775,7.4,50,51,-3.0,3.9,5.0
7790,1.4,1286,1466,-7.9,0.7,5.0
34635,3.7,123,124,-7.9,0.7,5.0
29180,2.8,69,76,-7.9,0.7,5.0
27870,7.4,316,362,-7.9,0.7,5.0
34650,14.9,23,28,-7.9,0.7,5.0
26550,9.6,418,460,-7.9,0.7,5.0
21000,3.1,176,177,-7.9,0.7,5.0
16310,1.4,111,90,-7.9,0.7,5.0
16615,3.1,88,89,-7.9,0.7,5.0
16310,1.4,507,512,-7.9,0.7,5.0
43365,7.6,32,42,-7.9,0.7,5.0
18500,1.5,178,181,-7.9,0.7,5.0
21075,2.2,56,56,-7.9,0.7,5.0
